[ 6364 ] [ 0.059400, -0.993900, -0.092900, -0.001600 ] [ 0.012700, 0.856900, -0.515200, 0.010500 ]
[ 6464 ] [ 0.059400, -0.993900, -0.092900, -0.001600 ] [ 0.012700, 0.856900, -0.515200, 0.010500 ]
[ 6564 ] [ 0.059400, -0.993900, -0.092900, -0.001600 ] [ 0.012700, 0.856900, -0.515200, 0.010500 ]
[ 6667 ] [ 0.040400, -0.995200, -0.085000, 0.027800 ] [ 0.012700, 0.857300, -0.514600, 0.011800 ]
[ 6765 ] [ 0.040400, -0.995200, -0.085000, 0.027800 ] [ 0.012700, 0.857300, -0.514600, 0.011800 ]
[ 6863 ] [ 0.040400, -0.995200, -0.085000, 0.027800 ] [ 0.012700, 0.857300, -0.514600, 0.011800 ]
[ 6965 ] [ 0.040400, -0.995200, -0.085000, 0.027800 ] [ 0.012700, 0.857300, -0.514600, 0.011800 ]
[ 7065 ] [ 0.000300, -0.994700, -0.079800, 0.064300 ] [ 0.010900, 0.858900, -0.511900, 0.008700 ]
[ 7164 ] [ 0.000300, -0.994700, -0.079800, 0.064300 ] [ 0.010900, 0.858900, -0.511900, 0.008700 ]
[ 7265 ] [ 0.000300, -0.994700, -0.079800, 0.064300 ] [ 0.010900, 0.858900, -0.511900, 0.008700 ]
[ 7364 ] [ -0.005600, -0.994200, -0.080900, 0.071200 ] [ 0.010600, 0.859600, -0.510800, 0.008500 ]
[ 7473 ] [ -0.005600, -0.994200, -0.080900, 0.071200 ] [ 0.010600, 0.859600, -0.510800, 0.008500 ]
[ 7564 ] [ -0.005600, -0.994200, -0.080900, 0.071200 ] [ 0.010600, 0.859600, -0.510800, 0.008500 ]
[ 7668 ] [ -0.008500, -0.992700, -0.089700, 0.079500 ] [ 0.010300, 0.860500, -0.509300, 0.007500 ]
[ 7778 ] [ -0.008500, -0.992700, -0.089700, 0.079500 ] [ 0.010300, 0.860500, -0.509300, 0.007500 ]
[ 7864 ] [ -0.008500, -0.992700, -0.089700, 0.079500 ] [ 0.010300, 0.860500, -0.509300, 0.007500 ]
[ 7966 ] [ -0.008500, -0.992700, -0.089700, 0.079500 ] [ 0.010300, 0.860500, -0.509300, 0.007500 ]
[ 8065 ] [ 0.282300, -0.950400, -0.123100, 0.043200 ] [ 0.001300, 0.862400, -0.506200, 0.000800 ]
[ 8164 ] [ 0.282300, -0.950400, -0.123100, 0.043200 ] [ 0.001300, 0.862400, -0.506200, 0.000800 ]
[ 8264 ] [ 0.282300, -0.950400, -0.123100, 0.043200 ] [ 0.001300, 0.862400, -0.506200, 0.000800 ]
[ 8364 ] [ 0.282300, -0.950400, -0.123100, 0.043200 ] [ 0.001300, 0.862400, -0.506200, 0.000800 ]
[ 8466 ] [ 0.567500, -0.812100, -0.124100, 0.055400 ] [ 0.000900, 0.862900, -0.505400, 0.002100 ]
[ 8575 ] [ 0.567500, -0.812100, -0.124100, 0.055400 ] [ 0.000900, 0.862900, -0.505400, 0.002100 ]
[ 8668 ] [ 0.567500, -0.812100, -0.124100, 0.055400 ] [ 0.000900, 0.862900, -0.505400, 0.002100 ]
[ 8764 ] [ 0.567500, -0.812100, -0.124100, 0.055400 ] [ 0.000900, 0.862900, -0.505400, 0.002100 ]
[ 8866 ] [ 0.894200, -0.422800, -0.127500, 0.073300 ] [ -0.000000, 0.863400, -0.504500, 0.002100 ]
[ 8975 ] [ 0.894200, -0.422800, -0.127500, 0.073300 ] [ -0.000000, 0.863400, -0.504500, 0.002100 ]
[ 9067 ] [ 0.894200, -0.422800, -0.127500, 0.073300 ] [ -0.000000, 0.863400, -0.504500, 0.002100 ]
[ 9168 ] [ 0.979600, -0.187900, -0.062800, 0.032600 ] [ 0.001600, 0.863800, -0.503600, 0.016600 ]
[ 9265 ] [ 0.979600, -0.187900, -0.062800, 0.032600 ] [ 0.001600, 0.863800, -0.503600, 0.016600 ]
[ 9366 ] [ 0.979600, -0.187900, -0.062800, 0.032600 ] [ 0.001600, 0.863800, -0.503600, 0.016600 ]
[ 9482 ] [ 0.998300, -0.034600, -0.043100, 0.019100 ] [ 0.001100, 0.864500, -0.502400, 0.014200 ]
[ 9565 ] [ 0.998300, -0.034600, -0.043100, 0.019100 ] [ 0.001100, 0.864500, -0.502400, 0.014200 ]
[ 9664 ] [ 0.998300, -0.034600, -0.043100, 0.019100 ] [ 0.001100, 0.864500, -0.502400, 0.014200 ]
[ 9764 ] [ 0.998300, -0.034600, -0.043100, 0.019100 ] [ 0.001100, 0.864500, -0.502400, 0.014200 ]
