Velocity	E1	E2	E1-E2
0.01	6.487670000000001e-7	-6.48828e-7	1.29759e-6
0.0131826	8.5527258714e-7	-8.5534904622e-7	1.7106269064e-6
0.017378	1.127432506e-6	-1.127554152e-6	2.254986658e-6
0.0229087	1.48624085729e-6	-1.48639205471e-6	2.972632912e-6
0.0301995	1.9592348418e-6	-1.95945529815e-6	3.91868712e-6
0.0398107	2.58281868925e-6	-2.58312523164e-6	5.165955864099999e-6
0.0524807	3.40509476196e-6	-3.40549886335e-6	6.810577881099999e-6
0.0691831	4.4891253195600006e-6	-4.48955425478e-6	8.9786519011e-6
0.0912011	5.9185592252699996e-6	-5.91900611066e-6	0.0000118375379756
0.120226	7.8031242588e-6	-7.8032925752e-6	0.000015606416833999998
0.158489	0.0000102879489103	-0.0000102878855147	0.000020575834424999998
0.20893	0.000013564069888	-0.000013563610241999999	0.00002712768013
0.275423	0.0000178833255592	-0.0000178825268325	0.000035765879934
0.363078	0.0000235775954718	-0.000023576506237799997	0.000047154029094
0.47863	0.000031084864665	-0.00003108366809	0.00006216829343999999
0.630957	0.00004098286549949999	-0.0000409815404898	0.000081964469085
0.831764	0.0000540312230872	-0.000054030308146800004	0.00010806194711599999
1.09648	0.00007123424862399998	-0.00007123391967999999	0.00014246783935999998
1.44544	0.000093914139488	-0.000093914717664	0.00018782914624000002
1.90546	0.000123813360972	-0.00012381488534	0.00024762786521999997
2.51189	0.00016323240857100003	-0.000163234920461	0.00032646783140999997
3.31131	0.00021519971898300002	-0.00021520336142400001	0.00043040407380000003
4.36516	0.000283710518588	-0.00028371532026400003	0.0005674271484
5.7544	0.00037403082104	-0.00037403772632000004	0.0007480662456
7.58578	0.000493104525964	-0.000493112870322	0.00098621967202
10	0.000650082	-0.000650094	0.00130018
